
Dogleg Trust-Region Solver with Limited-Memory BFGS Hessian Approximation
  iter  value          gnorm          snorm          delta          #fval     #grad     tr_flag   
  7     2.652793e-01   2.878074e+00   9.429715e-03   2.357429e-03   9         4         5         
  8     2.591236e-01   2.445841e+00   2.357429e-03   5.893572e-03   10        5         0         
  9     2.591236e-01   2.445841e+00   5.893572e-03   6.809007e-04   11        5         5         
  10    2.574922e-01   2.357702e+00   6.809007e-04   1.702252e-03   12        6         0         
  11    2.574922e-01   2.357702e+00   1.702252e-03   1.756550e-04   13        6         5         
  12    2.570802e-01   2.336136e+00   1.756550e-04   4.391375e-04   14        7         0         
  13    2.560630e-01   2.291184e+00   4.391375e-04   1.097844e-03   15        8         0         
  14    2.560630e-01   2.291184e+00   1.097844e-03   1.118445e-04   16        8         5         
  15    2.558072e-01   2.284138e+00   1.118445e-04   2.796112e-04   17        9         0         
  16    2.551712e-01   2.265723e+00   2.796112e-04   6.990281e-04   18        10        0         
  17    2.551712e-01   2.265723e+00   6.990281e-04   7.044830e-05   19        10        5         
  18    2.550118e-01   2.257000e+00   7.044830e-05   1.761207e-04   20        11        0         
  19    2.550118e-01   2.257000e+00   1.761207e-04   1.767766e-05   21        11        5         
  20    2.549719e-01   2.256029e+00   1.767766e-05   4.419415e-05   22        12        0         
  21    2.549719e-01   2.256029e+00   4.419415e-05   4.421553e-06   23        12        5         
  22    2.549619e-01   2.255689e+00   4.421553e-06   1.105388e-05   24        13        0         
  23    2.549370e-01   2.255180e+00   1.105388e-05   2.763471e-05   25        14        0         
  24    2.549370e-01   2.255180e+00   2.763471e-05   2.765815e-06   26        14        5         
  25    2.549370e-01   2.255180e+00   2.765815e-06   2.766049e-07   27        14        5         
